KNphi log10_mej_dyn log10_mej_wind inclination_EM luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
32.365660455102315 -2.1539092165769573 -1.0218975177960878 1.2496329370790193 40.4509840800647 0.0 0.25 0.0 -175.88945601344514 -11.97640802011193
31.715753675211293 -2.28735384637934 -1.092139587411609 1.3508921440656254 35.85859091497829 0.0 0.25 0.0 -175.7841512773198 -11.827791842875001
28.11325547986608 -2.207010561987685 -0.9707105766280675 1.506246796705933 37.73236012095425 0.0 0.25 0.0 -175.72447364955778 -11.856435175006618
30.74876580512384 -2.250760634761437 -1.0931091038760625 1.350070923264548 36.84331541598119 0.0 0.25 0.0 -175.69999349741337 -11.85506678426591
32.93039163169118 -2.1653860649224477 -1.0309215202241773 1.3052739165285692 39.45342223803544 0.0 0.25 0.0 -175.67785807060815 -11.934626359046336
42.166980331215925 -2.282467324994008 -1.0403179617460128 0.9714724494988282 43.30752242776528 0.0 0.25 0.0 -175.64263027796508 -12.183661613299588
30.89685737708874 -2.2326714728090007 -1.0605520906521888 1.375586640641644 36.605918076358705 0.0 0.25 0.0 -175.6299643262613 -11.843217909926356
35.45935719061515 -2.1907511769825723 -1.0332168266022488 1.2662438652574732 39.8261064459232 0.0 0.25 0.0 -175.52766073912622 -11.955466220963942
34.07306943576963 -2.1895730535688704 -1.0393302323535143 1.297924325432909 39.356322402433136 0.0 0.25 0.0 -175.5091943311344 -11.934189917919085
32.31353454971143 -2.1899911651190775 -1.028981779517598 1.3740601213525598 37.43624985565916 0.0 0.25 0.0 -175.46704614876867 -11.8659505150422
37.12469121154862 -2.2554651941424892 -1.0579679222909317 1.2302207237806388 37.761136008451096 0.0 0.25 0.0 -175.38963933126388 -11.914265739044025
30.401006890233468 -2.1906577756610033 -1.089824675726306 1.390743793349366 34.878787210941034 0.0 0.25 0.0 -175.36051547525344 -11.792008953176804
38.73880654285856 -2.297646921196477 -1.0656066632410452 1.1334214847964077 40.94830077722013 0.0 0.25 0.0 -175.35346498980178 -12.035005746103597
30.548380829680475 -2.277921060881394 -1.0574370294176805 1.3230581075362746 38.70422075222607 0.0 0.25 0.0 -175.32213580581433 -11.910787225627027
29.808936325160587 -2.21427788722633 -0.9960678066298208 1.3630353334667735 38.64893690698694 0.0 0.25 0.0 -175.27265122631005 -11.900090981393006
28.06834327820117 -2.2192320154420067 -0.9825971102418736 1.5552436718674643 39.21855897655162 0.0 0.25 0.0 -175.26320602224325 -11.893103346267425
