log10_mej log10_vej log10_Xlan luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-1.8489269452843007 -0.6837899251238704 -3.2644902855282796 21.25879269275708 0.0 1.0 0.0 -166.30977821746285 -9.049407807475973
-1.801861046520517 -0.683687018053692 -3.2938635116022947 22.308295788737315 0.0 1.0 0.0 -166.29459005378112 -9.097595841661143
-1.9823930723000127 -0.6864429532081187 -3.3032917737789536 17.48251436871942 0.0 1.0 0.0 -166.2678002268677 -8.853838426396626
-1.7506701385253223 -0.6969694407129301 -3.043094401435524 23.229037859284162 0.0 1.0 0.0 -166.25741673490472 -9.138040351809286
-1.7036985453928422 -0.7072749377326135 -3.2699211737579432 27.443307270747887 0.0 1.0 0.0 -166.24053788819674 -9.30475954686397
-1.8806324116153732 -0.6861761891190559 -3.354942482996286 18.85187241885312 0.0 1.0 0.0 -166.23024097206866 -8.929249465435525
-1.5521295691233106 -0.6904867044458183 -3.4035970979005494 29.80640717126042 0.0 1.0 0.0 -166.16517632335376 -9.387360600057436
-1.7761591718605856 -0.6916490793889047 -3.399828907044647 24.981324627833327 0.0 1.0 0.0 -166.16066886051914 -9.21076575473639
-2.024845047329226 -0.6901313897105188 -3.328170594286 15.47377365900631 0.0 1.0 0.0 -166.1529731795285 -8.73178379274912
-2.008893895253027 -0.6949309651184732 -3.2971878284581155 15.27606644535379 0.0 1.0 0.0 -166.13174581510754 -8.718924542919888
-2.0822643864000168 -0.6936351631248627 -3.319983726151814 15.291829220450927 0.0 1.0 0.0 -166.12967164527907 -8.719955871779854
-1.6800703527587633 -0.6863441005362059 -3.2349258920391692 23.13404127400043 0.0 1.0 0.0 -166.11438351302695 -9.133942404908401
-1.7897295450042559 -0.7002248122068122 -3.1712451811462046 19.792660433410862 0.0 1.0 0.0 -166.10761630195995 -8.977948407707991
-1.8102926441205742 -0.6966559918686457 -3.299365535279626 25.05483260790626 0.0 1.0 0.0 -166.09209290914887 -9.213703951313295
-1.906298676580609 -0.6952749203870525 -3.1223223068882735 20.990366280198035 0.0 1.0 0.0 -166.0551328520528 -9.036700807813617
-1.485949745179858 -0.6878078299669905 -3.281295971648098 32.43967671324359 0.0 1.0 0.0 -166.05472141614868 -9.472019487424063
-1.8685825603584503 -0.7069057113966049 -3.0602408926793263 19.22997027227609 0.0 1.0 0.0 -166.04849758017411 -8.94910723760552
-2.079565702629456 -0.7186608356326454 -3.312464298780659 15.481385724720829 0.0 1.0 0.0 -166.03271587495192 -8.7322756051655
-1.8604113417153512 -0.6936384129403048 -3.134459457692375 17.91078231007679 0.0 1.0 0.0 -166.0149330748359 -8.87804011909947
-1.805433820261955 -0.6930649154386994 -3.193670643809587 24.083115304156696 0.0 1.0 0.0 -166.00597870230865 -9.174148209078357
-2.0909818509860294 -0.7188569077550904 -3.2629251437165294 16.07510999591254 0.0 1.0 0.0 -166.0000850150025 -8.769909336679298
-1.5775267228224763 -0.7026317633663088 -3.3521953911521614 29.274661842867776 0.0 1.0 0.0 -165.9788321225419 -9.369359582271672
-1.9455735350921857 -0.6869638742976276 -3.1254547745687438 18.05155722382918 0.0 1.0 0.0 -165.9750400632651 -8.885869177755433
-1.9152062311951346 -0.6973568598033693 -3.1591933067818516 16.9440126667983 0.0 1.0 0.0 -165.9381558959721 -8.822551760336637
-2.0399144193028795 -0.6989434639733858 -3.108669945308126 14.110843372950077 0.0 1.0 0.0 -165.93552976924005 -8.639580759281412
-1.600304631454641 -0.6982678339514088 -3.2230298505588166 30.315508509505513 0.0 1.0 0.0 -165.9140896127007 -9.404296637480392
